,SDM_TRACES
0,TRACE_EMPTY
1,TRACE_ERROR
2,TRACE_ERROR_TIMEOUT
3,TRACE_ERROR_ACTION_INVALID
4,TRACE_ERROR_SHA_MISMATCH
5,TRACE_BOOT
6,TRACE_BOOT_WARNING_BAD_ROM_ID
7,TRACE_BITSTREAM_INTERRUPTED
8,TRACE_ACTION_CHECK_CNT_STATUS
9,TRACE_ACTION_COMMENT
10,TRACE_ACTION_CNOC_DELAY
11,TRACE_ACTION_CNOC_SEND
12,TRACE_ACTION_CNOC_SEND_TIMING_SYNC
13,TRACE_ACTION_FIXED
14,TRACE_ACTION_FIXED_ATOMIC
15,TRACE_ACTION_FUSE_FILTER
16,TRACE_ACTION_KEYS
17,TRACE_ACTION_KEY_CHALLENGE
18,TRACE_ACTION_IF
19,TRACE_ACTION_MULTICAST
20,TRACE_ACTION_MCAST_FILTER
21,TRACE_ACTION_PADDING
22,TRACE_ACTION_SECTOR_GROUP
23,TRACE_ACTION_SECTOR_LIST
24,TRACE_ACTION_SEND_REDUNDANCY
25,TRACE_ACTION_SEND_REDUNDANCY_LSM_REDUNDANCY
26,TRACE_ACTION_SEND_REDUNDANCY_LSM_BIASGEN
27,TRACE_ACTION_SEND_REDUNDANCY_LSM_ERAM
28,TRACE_ACTION_SEND_REDUNDANCY_AIB
29,TRACE_ACTION_SEND_REDUNDANCY_UIB
30,TRACE_ACTION_SEND_REDUNDANCY_DIB
31,TRACE_ACTION_SEND_REDUNDANCY_CORNERTEMPSENS
32,TRACE_ACTION_SEND_REDUNDANCY_CRYPTOSSM
33,TRACE_ACTION_SETUP_S4
34,TRACE_ACTION_SKIP
35,TRACE_ACTION_TEST_JTAG
36,TRACE_ACTION_HASHES
37,TRACE_CNOC_ADDR
38,TRACE_CNOC_X_ADDR
39,TRACE_CNOC_Y_ADDR
40,TRACE_ACTION_INTERRUPT_WAIT
41,TRACE_ACTION_CONFIG_PIN
42,TRACE_ACTION_CONFIG_PIN_CONF_DONE
43,TRACE_ACTION_CONFIG_PIN_INIT_DONE
44,TRACE_ACTION_CONFIG_PIN_CVP_DONE
45,TRACE_ACTION_SETUP_DECOMP
46,TRACE_ACTION_SETUP_LIBRARIES
47,TRACE_ACTION_INDEXSIZE
48,TRACE_ACTION_HPS_DOWNLOAD
49,TRACE_ACTION_HPS_DOWNLOAD_DONE
50,TRACE_STATE_ERROR
51,TRACE_CONFIG_STATE_MACHINE_SECTION_HEADER
52,TRACE_CONFIG_STATE_MACHINE_SECTION_HANDLER
53,TRACE_CONFIG_STATE_MACHINE_PARSE_SIG_DESC
54,TRACE_CONFIG_STATE_MACHINE_SSBL_SYNC_BLOCK
55,TRACE_ACTION_OPERATION
56,TRACE_ACTION_OPERATION_SDM_TO_FPGA_DISABLE
57,TRACE_ACTION_OPERATION_SDM_TO_FPGA_ENABLE
58,TRACE_ACTION_OPERATION_SDM_TO_FPGA_ENABLE_TIMEOUT
59,TRACE_ACTION_OPERATION_SDM_TO_FPGA_DISABLE_TIMEOUT
60,TRACE_ACTION_OPERATION_FPGA_PREPARE_BRIDGE_SHUTDOWN
61,TRACE_ACTION_OPERATION_USER_LOGIC_RESET_RELEASE
62,TRACE_ACTION_OPERATION_USER_LOGIC_RESET_ASSERT
63,TRACE_ACTION_OPERATION_RELEASE_BANK3A_DISABLE_AVST
64,TRACE_ACTION_OPERATION_SDM_SELECT_DELAY_SET
65,TRACE_ACTION_OPERATION_PWR_MANAGEMENT_ENABLE
66,TRACE_ACTION_OPERATION_PWR_MANAGEMENT_DISABLE
67,TRACE_ACTION_OPERATION_LIMIT_CNOC_HALF_SPEED
68,TRACE_ACTION_OPERATION_LIMIT_CNOC_FULL_SPEED
69,TRACE_ACTION_OPERATION_ACCURATE_USR_CLK_ENABLE
70,TRACE_ACTION_OPERATION_ACCURATE_USR_CLK_DISABLE
71,TRACE_ACTION_OPERATION_HPS_MPU_RELEASE
72,TRACE_ACTION_OPERATION_HPS_ASSERT_POR_RESET
73,TRACE_ACTION_OPERATION_HPS_ASSERT_COLD_RESET
74,TRACE_ACTION_OPERATION_HPS_RELEASE_POR_RESET
75,TRACE_ACTION_OPERATION_HPS_RELEASE_COLD_RESET
76,TRACE_ACTION_OPERATION_HPS_OCRAM_WIPE
77,TRACE_ACTION_OPERATION_HPS_MPFE_RELEASE
78,TRACE_ACTION_OPERATION_HPS_DDR_CALIBRATE
79,TRACE_ACTION_OPERATION_HPS_MPU_READY
80,TRACE_ACTION_OPERATION_HPS_IO_CLOCK_GATE
81,TRACE_ACTION_OPERATION_HPS_FPGA_IN_USERMODE
82,TRACE_ACTION_OPERATION_HPS_FPGA_NOT_IN_USERMODE
83,TRACE_ACTION_OPERATION_HPS_MEMORY_REPAIR
84,TRACE_ACTION_OPERATION_WAIT_FOR_HPS_COMMAND_COMPLETE
85,TRACE_ACTION_OPERATION_ESRAM_TNM_RESET_ASSERT
86,TRACE_ACTION_OPERATION_ESRAM_TNM_RESET_RELEASE
87,TRACE_ACTION_OPERATION_SEND_JTAGID
88,TRACE_ACTION_OPERATION_ZERO_CHECK
89,TRACE_ENV_PVT_IRQ_ERROR
90,TRACE_ENV_PVT_IRQ_VM_ALARMA
91,TRACE_ENV_PVT_IRQ_VM_ALARMB
92,TRACE_ENV_PVT_IRQ_VM_FAULT
93,TRACE_ENV_PVT_IRQ_VM_DONE
94,TRACE_ENV_PVT_IRQ_TS_ALARMA
95,TRACE_ENV_PVT_IRQ_TS_ALARMB
96,TRACE_ENV_PVT_IRQ_TS_FAULT
97,TRACE_ENV_PVT_IRQ_TS_DONE
98,TRACE_ENV_PVT_READ_VOLT_FAIL
99,TRACE_ENV_PVT_READ_VOLT_SUCCESS
100,TRACE_ENV_PVT_READ_TEMP_FAIL
101,TRACE_ENV_PVT_READ_TEMP_SUCCESS
102,TRACE_ENV_PVT_TS_TIMEOUT
103,TRACE_ENV_PVT_CONFIG_SDA_TS_FAIL
104,TRACE_ENV_PVT_CONFIG_SDA_VM_FAIL
105,TRACE_ENV_PVT_INIT_FAIL
106,TRACE_ENV_PVT_DISABLE
107,TRACE_ENV_PVT_INIT_SUCCESS
108,TRACE_GENERIC_INFO
109,TRACE_ACTION_OPERATION_DM_RELEASE_RESET
110,TRACE_FILL_MGR_GET
111,TRACE_SKIP_DATA_BLOCK
112,TRACE_ENTER_USER_MODE
113,TRACE_USER_MODE
114,TRACE_FIXED_COUNT_REMOVE
115,TRACE_GET_SKIP_BLOCK
116,TRACE_GET_CPU_BLOCK
117,TRACE_GET_DC0_BLOCK
118,TRACE_GET_DC1_BLOCK
119,TRACE_DMA_RD_ENQUEUE_FAIL
120,TRACE_DMA_WR_ENQUEUE_FAIL
121,TRACE_DMA_DRAIN
122,TRACE_SECTOR_GROUP_WAITING_DC0
123,TRACE_SECTOR_GROUP_WAITING_DC1
124,TRACE_SECTOR_GROUP_WAITING_AES_BUSY
125,TRACE_SECTOR_GROUP_TIMEOUT
126,TRACE_INT_DONE_WEST
127,TRACE_INT_DONE_EAST
128,TRACE_INT_DONE_TEST_WEST
129,TRACE_INT_DONE_TEST_EAST
130,TRACE_INT_WAIT_WEST
131,TRACE_INT_WAIT_EAST
132,TRACE_INT_WAIT_TEST_WEST
133,TRACE_INT_WAIT_TEST_EAST
134,TRACE_INT_WAIT_TIMEOUT
135,TRACE_WIPE_DECOMP_WRITE
136,TRACE_WIPE_PASS_1_ERROR
137,TRACE_WIPE_PASS_2_ERROR
138,TRACE_WIPE_DECOMP_READ
139,TRACE_MEMORY_ADD_REF
140,TRACE_MEMORY_ADD_REF_ERROR
141,TRACE_MEMORY_REMOVE_REF
142,TRACE_MEMORY_REMOVE_REF_ERROR
143,TRACE_MEMORY_ALLOC
144,TRACE_MEMORY_FREE
145,TRACE_BITSTREAM_INTERRUPT
146,TRACE_BITSTREAM_ERROR
147,TRACE_BITSTREAM_MAIN_DESC
148,TRACE_BITSTREAM_SIG_BLK
149,TRACE_BITSTREAM_HASH_BLK
150,TRACE_BITSTREAM_SHA_MISCOMPARE
151,TRACE_BITSTREAM_CNT_INITIALIZE
152,TRACE_BITSTREAM_RESUME_CONFIG
153,TRACE_BITSTREAM_SECTION_HEADER
154,TRACE_BITSTREAM_INT_WAIT
155,TRACE_BITSTREAM_ROUTES
156,TRACE_BITSTREAM_STARVED
157,TRACE_BITSTREAM_CNOC_TEMPLATE_MUTABLE_MCAST
158,TRACE_BITSTREAM_CNOC_TEMPLATE_MUTABLE_SECLIST
159,TRACE_BITSTREAM_CNOC_TEMPLATE_MUTABLE_REWRITE
160,TRACE_BITSTREAM_CNOC_TEMPLATE_MUTABLE_INTWAIT
161,TRACE_BITSTREAM_CNOC_TEMPLATE_MUTABLE_NOP
162,TRACE_MBOX_Q_ERROR
163,TRACE_MBOX_Q_CMD_HDLR_BAD_PTR
164,TRACE_MBOX_Q_MSG_PUT_BAD_PTR
165,TRACE_MBOX_Q_MSG_FREE_BAD_PTR
166,TRACE_MBOX_Q_MSG_FREE_FREE_PTR
167,TRACE_MBOX_Q_DOUBLE_BIG_BUF
168,TRACE_MBOX_HW_MGR_FATAL
169,TRACE_MBOX_HW_MGR_ERR_INFO
170,TRACE_MBOX_HW_MGR_VERBOSE_LOC
171,TRACE_MBOX_HW_MGR_VERBOSE_DATA
172,TRACE_MBOX_HW_MGR_JTAG_FATAL
173,TRACE_MBOX_HW_MGR_JTAG_ERR_INFO
174,TRACE_MBOX_TASK_FATAL_ERROR
175,TRACE_MBOX_TASK_FATAL_ERROR_INFO
176,TRACE_MBOX_CMD_GET_SEU_ERROR
177,TRACE_MBOX_CMD_INSERT_SEU_ERROR
178,TRACE_MBOX_CMD_INSERT_ECC_ERROR
179,TRACE_MBOX_CMD_INSERT_ECC_ERROR_ADDR_X
180,TRACE_MBOX_CMD_INSERT_ECC_ERROR_ADDR_Y
181,TRACE_MBOX_CMD_INSERT_ECC_ERROR_CNOC_X
182,TRACE_MBOX_CMD_INSERT_ECC_ERROR_CNOC_Y
183,TRACE_MBOX_CMD_SDM_EFUSE_WRITE
184,TRACE_MBOX_CMD_SDM_EFUSE_READ
185,TRACE_MBOX_CMD_SDM_EFUSE_RELOAD_CACHE
186,TRACE_MBOX_CMD_SDM_EFUSE_TEST_WRITE
187,TRACE_MBOX_CMD_SDM_ATPR_TRIGGER
188,TRACE_MBOX_OPCODE_RCVD
189,TRACE_MBOX_CMD_SYNC
190,TRACE_MBOX_CMD_GET_CONFIG_STATUS
191,TRACE_MBOX_CMD_JTAG_CONFIG
192,TRACE_MBOX_CMD_CONFIG_MSEL
193,TRACE_MBOX_CMD_NOP
194,TRACE_MBOX_CMD_APPLY_BANDGAP_TRIM
195,TRACE_MBOX_CMD_CLK_SWITCH_TO_PLL
196,TRACE_MBOX_CMD_RECONFIG_MSEL
197,TRACE_MBOX_CMD_RECONFIG
198,TRACE_MBOX_CMD_RECONFIG_DATA
199,TRACE_MBOX_OS_ERROR
200,TRACE_MBOX_OS_TIMEOUT
201,TRACE_MBOX_CMD_INJECT_ERR
202,TRACE_MBOX_CMD_ECHO
203,TRACE_MBOX_CMD_CNTATPG_EXIT
204,TRACE_MBOX_CMD_CNTATPG_SETUP
205,TRACE_MBOX_CMD_CNTATPG_CLK
206,TRACE_MBOX_CMD_BYPASS_CNT_ATPG
207,TRACE_MBOX_CMD_INITIALIZATION
208,TRACE_MBOX_CMD_RELEASE_CNT_RESET_SETUP
209,TRACE_MBOX_CMD_CNT_SETUP
210,TRACE_MBOX_CMD_CNT_SETUP_UNIVERSAL
211,TRACE_MBOX_CMD_COPY_TRACE
212,TRACE_MBOX_CMD_IO_CTRL_SETUP
213,TRACE_MBOX_CMD_TESTPOR_SETUP
214,TRACE_MBOX_CMD_BBRAM_GP_WR
215,TRACE_MBOX_CMD_BBRAM_GP_CMP
216,TRACE_MBOX_CMD_BBRAM_KEYCLEAR
217,TRACE_MBOX_CMD_SWITCH_AVST16
218,TRACE_MBOX_CMD_SWITCH_AVST32
219,TRACE_MBOX_CMD_CRETE_SETUP
220,TRACE_MBOX_CMD_ENTER_USERMODE
221,TRACE_MBOX_CMD_EXIT_USERMODE
222,TRACE_MBOX_CMD_READ_DATA
223,TRACE_MBOX_CMD_READ_DATA_JTAG
224,TRACE_MBOX_CMD_READ_DATA_INFO
225,TRACE_MBOX_CMD_ZERO_CHECK
226,TRACE_MBOX_CMD_ZERO_CHECK_REDUNDANT_ROW
227,TRACE_MBOX_CMD_CLEAR_READ_DATA
228,TRACE_MBOX_CMD_RECONFIG_AVST
229,TRACE_MBOX_CMD_TOGGLE_MATCHLOOP
230,TRACE_MBOX_CMD_PUF_POWER
231,TRACE_MBOX_CMD_IID_PUF_CAPTURE
232,TRACE_MBOX_CMD_INTEL_PUF_CAPTURE
233,TRACE_MBOX_CMD_AUTOHEADER
234,TRACE_MBOX_CMD_AH_INTERFRAME_DEL
235,TRACE_MBOX_SOFT_REDUNDANT_AIB
236,TRACE_MBOX_AIB_REDUNDANT
237,TRACE_MBOX_CMD_UIB_SOFTADJSECTOR
238,TRACE_MBOX_CMD_UIB_DAUGHTERDIEINFO
239,TRACE_MBOX_CMD_SETUP_CVP_PATH
240,TRACE_MBOX_CMD_READ_CVP_DATA
241,TRACE_MBOX_CMD_CLEAR_CVP_PATH
242,TRACE_MBOX_CMD_ESRAM_REDUNDANCY
243,TRACE_MBOX_CMD_ESRAM_READ_BEADBUS
244,TRACE_MBOX_CMD_ESRAM_BEADBUS_USERMODE
245,TRACE_MBOX_CMD_ACTIVATE_HPS_TEST
246,TRACE_MBOX_CMD_ENABLE_HPS_WB
247,TRACE_MBOX_CMD_SCR_MISCCTRL_DISABLE_HPS_BSC
248,TRACE_MBOX_CMD_IOSSM_FREEZE
249,TRACE_MBOX_CMD_IOSSM_UNFREEZE
250,TRACE_MBOX_CMD_FREEZE_DRIVE
251,TRACE_MBOX_CMD_FREEZE_LOGIC
252,TRACE_MBOX_CMD_STATUSIO_SETUP
253,TRACE_MBOX_CMD_LOANIO_SETUP
254,TRACE_MBOX_CMD_CONFIG_IO
255,TRACE_MBOX_CMD_WRITE_MEMORY_MAP_REGISTER
256,TRACE_MBOX_CMD_READ_MEMORY_MAP_REGISTER
257,TRACE_MBOX_CMD_TRNG_START
258,TRACE_MBOX_CMD_TRNG_STOP
259,TRACE_MBOX_CMD_TRNG_OUT_EN
260,TRACE_MBOX_CMD_TRNG_STUCK_CHECK
261,TRACE_MBOX_CMD_TRNG_CAPTURE
262,TRACE_MBOX_CMD_LSM_RAM_REPAIR
263,TRACE_MBOX_CMD_LSM_REDUNDANCY
264,TRACE_MBOX_CMD_MEMREPAIR_LOAD
265,TRACE_MBOX_CMD_MEMCONFIG_LOAD
266,TRACE_MBOX_CMD_SOFTREDUNDANCY
267,TRACE_MBOX_CMD_CNOC_PATH_SETTING
268,TRACE_MBOX_CMD_CNOC_RETURN_PREBUF_SETUP
269,TRACE_MBOX_CMD_CNOC_RETURN_SETUP
270,TRACE_MBOX_CMD_CNOC_CLK_CTRL
271,TRACE_MBOX_CMD_CNOC_HEADER_SETUP
272,TRACE_MBOX_CMD_CNOC_TEMPLATE_CONFIG
273,TRACE_MBOX_CMD_SEND_UNICAST_PACKET
274,TRACE_MBOX_CMD_CNT_CMD_BROADCAST
275,TRACE_MBOX_CMD_CRAM_S4SWIZZLE
276,TRACE_MBOX_CMD_READ_CRAM_LFSR
277,TRACE_MBOX_CMD_CRAM_READ_LABROW
278,TRACE_MBOX_CMD_ERAM_READ_MULTI
279,TRACE_MBOX_CMD_M20K_REDUNDNCY
280,TRACE_MBOX_CMD_AES_ECB_ENCRYPT
281,TRACE_MBOX_CMD_DTS_TEMP_INIT
282,TRACE_MBOX_CMD_DTS_GET_TEMP
283,TRACE_MBOX_CMD_DTS_SET_CAL
284,TRACE_MBOX_CMD_PWRTRIM_REDUNDANCY
285,TRACE_MBOX_CMD_BIASGEN
286,TRACE_MBOX_CMD_VADC_INIT
287,TRACE_MBOX_CMD_VADC_READ
288,TRACE_MBOX_CMD_SEND_FORCE_VCCL_SETUP
289,TRACE_MBOX_CMD_HVQK_EN
290,TRACE_MBOX_CMD_USER_CLOCKGATE
291,TRACE_MBOX_CMD_CORE_INTERFACE_DISABLE_SETUP
292,TRACE_MBOX_CMD_CRYPTO_BYPASS
293,TRACE_MBOX_CMD_SIGNED_NSP_HALT
294,TRACE_MBOX_CMD_CLR_ALL_DFX_BUFFERS
295,TRACE_MBOX_CMD_TOGGLE_ALMOST_EMPTY
296,TRACE_MBOX_CMD_TOGGLE_ALMOST_EMPTY_DOUBLE_PINS
297,TRACE_MBOX_CMD_CERTIFICATE_CMD
298,TRACE_MBOX_CMD_SERVICE_ROOT_KEY_CMD
299,TRACE_MBOX_CMD_TRIGGER_WDT_EXPIRY
300,TRACE_INFO_DFX
301,TRACE_CONFIG_STATE_POST_MSG_ERR
302,TRACE_CONFIG_STATE_POST_MSG
303,TRACE_CONFIG_STATE_POST_ERR
304,TRACE_CONFIG_STATE_ASYNC_EVENTS_RECVD
305,TRACE_CONFIG_STATE_CHECK_ASYNC_EVENTS_ERR
306,TRACE_CONFIG_STATE_BOOT
307,TRACE_CONFIG_STATE_PEND_ERR
308,TRACE_CONFIG_STATE_WIPE_CRYPTO_RESET
309,TRACE_CONFIG_STATE_EVENT_BUSY
310,TRACE_MBOX_CMD_QSPI_READ_SHA512_ERROR
311,TRACE_MBOX_CMD_QSPI_READ_SHA512_TIMEOUT
312,TRACE_MBOX_CMD_QSPI_READ_INFO
313,TRACE_PIN_TABLE_SKIPPED
314,TRACE_PIN_TABLE_ERROR
315,TRACE_CLOCK_CNOC_FULL_SPEED
316,TRACE_CLOCK_CNOC_HALF_SPEED
317,TRACE_CLOCK_EXACT_USER_CLK_ENABLE
318,TRACE_CLOCK_EXACT_USER_CLK_DISABLE
319,TRACE_SLOT_BAD_OFFSET
320,TRACE_SLOT_BAD_SIZE
321,TRACE_SLOT_TOO_MANY_PROVIDED
322,TRACE_SLOT_PR_MISSING_USED_TABLE
323,TRACE_SLOT_PR_NOT_PROVIDED_FOR
324,TRACE_SLOT_PR_USED_TABLE_W_DISABLED_PARENT
325,TRACE_SLOT_PR_POF_DISABLED
326,TRACE_SLOT_PROVIDED_CONTAINS_DISABLED_PLUS
327,TRACE_SLOT_PR_PROVIDED_CONTAINS_DISABLED
328,TRACE_SLOT_PR_PROVIDED_WHILE_DISABLED
329,TRACE_SLOT_TYPE_NOT_EXPECTED
330,TRACE_SLOT_NO_MATCH
331,TRACE_SLOT_MATCH
332,TRACE_SLOT_TABLE_WRONG
333,TRACE_SLOT_NO_PROVIDE
334,TRACE_SLOT_ASIC_TYPE_NOT_ENABLED
335,TRACE_SLOT_UPDATE_ENTRY
336,TRACE_SLOT_UPDATE_ENTRY_WRONG
337,TRACE_REDUNDANCY_INIT_ERROR
338,TRACE_GPIO_DEBOUNCE_ENABLE_FAIL
339,TRACE_GPIO_ISR_ERR
340,TRACE_CONFIG_STATE_IDLE
341,TRACE_CONFIG_STATE_CONFIGURE
342,TRACE_CONFIG_STATE_COMPLETE
343,TRACE_CONFIG_STATE_WIPE
344,TRACE_CONFIG_STATE_FATAL
345,TRACE_CONFIG_UNKNOWN_ASYNC_EVENT
346,TRACE_CONFIG_EVENT_RCVD
347,TRACE_CONFIG_STATE_EVENT_DROPPED
348,TRACE_CONFIG_EVENT_INJECTED
349,TRACE_CONFIG_EVENT_JTAG_CONFIG
350,TRACE_CONFIG_EVENT_CONFIG_MSEL
351,TRACE_CONFIG_EVENT_HPS_COLD_RESET
352,TRACE_CONFIG_EVENT_ANTI_TAMPER
353,TRACE_CONFIG_EVENT_ERROR
354,TRACE_CONFIG_EVENT_INTERRUPTION
355,TRACE_CONFIG_EVENT_PRECONFIG
356,TRACE_CONFIG_EVENT_PREWIPE
357,TRACE_CONFIG_EVENT_NCONFIG_ASSERT
358,TRACE_CONFIG_EVENT_NCONFIG_DEASSERT
359,TRACE_CONFIG_EVENT_NHPSRESET_ASSERT
360,TRACE_CONFIG_EVENT_NHPSRESET_DEASSERT
361,TRACE_CONFIG_EVENT_BOOT
362,TRACE_CONFIG_EVENT_RECONFIG
363,TRACE_CONFIG_EVENT_CVP
364,TRACE_CONFIG_EVENT_TRANSITION
365,TRACE_CONFIG_EVENT_RECONFIG_INTERRUPTION
366,TRACE_CONFIG_EVENT_VAB_BS_PREAUTH
367,TRACE_CONFIG_PR_CERTIFICATE_NOWIPE
368,TRACE_CONFIG_MAIN_HEADER_LOADED
369,TRACE_CONFIG_WIPE_DONE
370,TRACE_CONFIG_CNOC_INITIALIZED
371,TRACE_CONFIG_STATUS_DEADLOOP
372,TRACE_FPGA_READY
373,TRACE_FPGA_NOT_READY
374,TRACE_HPS_READY
375,TRACE_HPS_NOT_READY
376,TRACE_CVP_INIT__READY
